,tweet_id,tweet_url,username,is_retweet,is_pinned,time,ts,text,replies,retweets,likes
0,1184945855125696512,/DougKass/status/1184945855125696512#m,DougKass,0.0,0.0,2019-10-17 09:34:00+00:00,1571304840000.0,"While the traders are suspicious of the possible ""Trump Trades"" it is somewhat ironic that the ""smart money"" of unusual call activity is never questioned in principle as being ""illegal money"" (read: insider information) @CNBCFastMoney @GuyAdami @terranovajoe @MelissaLeeCNBC",6.0,4.0,14.0
1,1184945856224608265,/DougKass/status/1184945856224608265#m,DougKass,0.0,0.0,2019-10-17 09:34:00+00:00,1571304840000.0,@riskreversal,2.0,0.0,5.0
2,1184913853433438208,/DougKass/status/1184913853433438208#m,DougKass,0.0,0.0,2019-10-17 07:27:00+00:00,1571297220000.0,"Mulvaney says Trump will charge participants in June 2020 G7 meeting ""at cost."" Since it is a seasonally weak period (June in Miami!) - the costs spread over the rooms required could conceivably result in room charges well in excess of seasonal room rates as big $s absorbed.",3.0,0.0,10.0
3,1184913854591049731,/DougKass/status/1184913854591049731#m,DougKass,0.0,0.0,2019-10-17 07:27:00+00:00,1571297220000.0,@realdonaldtrump @steverattner @arimelber @morningmika @morning_joe #msnbc @JoyAnnReid,1.0,0.0,4.0
4,1184912027543842818,/DougKass/status/1184912027543842818#m,DougKass,0.0,0.0,2019-10-17 07:20:00+00:00,1571296800000.0,Is it me or does $GS David Solomon sound just like Lloyd Blankfein….like his actual voice? @jimcramer @tomkeene @SquawkCNBC @cnbcfastmoney,8.0,0.0,8.0
5,1184905237599064064,/DougKass/status/1184905237599064064#m,DougKass,0.0,0.0,2019-10-17 06:53:00+00:00,1571295180000.0,"The 46th G7 summit will be held June 10 through June 12, 2020 at the Doral resort in Miami. Does anyone believe the resort would normally have been filled at that time of year. Miami in June? Seriously... @morningmika @morning_joe @arimelber @JoyAnnReid #msnbc @SteveRattner",5.0,1.0,11.0
6,1184902856731697152,/DougKass/status/1184902856731697152#m,DougKass,0.0,0.0,2019-10-17 06:43:00+00:00,1571294580000.0,Today is a perfect example of how Trump works. Create a crisis then appear to solve it. Of course he did not solve it! He just pushes this stuff out... @realdonaldtrump @arimelber @morningmika @morning_joe #msnbc,5.0,8.0,54.0
7,1184883129292677124,/DougKass/status/1184883129292677124#m,DougKass,0.0,0.0,2019-10-17 05:25:00+00:00,1571289900000.0,I know them both - no way Curt!,1.0,0.0,9.0
8,1184875484255051776,/DougKass/status/1184875484255051776#m,DougKass,0.0,0.0,2019-10-17 04:55:00+00:00,1571288100000.0,"The notion of ""doing it at cost"" is absurd as the Doral would not have been near to rented up at the time of the G7. Its all BS.",3.0,5.0,29.0
9,1184874061601693697,/DougKass/status/1184874061601693697#m,DougKass,0.0,0.0,2019-10-17 04:49:00+00:00,1571287740000.0,"Mulvaney: ""His brand is so strong already so he wont profit from the G7 meeting at Doral."" Are you freakin' kidding me. It will be done at ""cost"" - would I like to see that calculus. The optics are so bad, the reality is so bad. Same old same old.",6.0,7.0,47.0
